index,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
0,536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,13/02/2026 8:26,2.55,17850,United Kingdom
1,536365,71053,WHITE METAL LANTERN,6,13/02/2026 8:26,3.39,17850,United Kingdom
2,536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,13/02/2026 8:26,2.75,17850,United Kingdom
3,536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,13/02/2026 8:26,3.39,17850,United Kingdom
4,536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,13/02/2026 8:26,3.39,17850,United Kingdom
5,536365,22752,SET 7 BABUSHKA NESTING BOXES,2,13/02/2026 8:26,7.65,17850,United Kingdom
6,536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,13/02/2026 8:26,4.25,17850,United Kingdom
7,536366,22633,HAND WARMER UNION JACK,6,13/02/2026 8:28,1.85,17850,United Kingdom
8,536366,22632,HAND WARMER RED POLKA DOT,6,13/02/2026 8:28,1.85,17850,United Kingdom
9,536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,13/02/2026 8:34,1.69,13047,United Kingdom
10,536367,22745,POPPY'S PLAYHOUSE BEDROOM ,6,13/02/2026 8:34,2.1,13047,United Kingdom
11,536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,13/02/2026 8:34,2.1,13047,United Kingdom
12,536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,13/02/2026 8:34,3.75,13047,United Kingdom
13,536367,22310,IVORY KNITTED MUG COSY ,6,13/02/2026 8:34,1.65,13047,United Kingdom
14,536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,13/02/2026 8:34,4.25,13047,United Kingdom
15,536367,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,13/02/2026 8:34,4.95,13047,United Kingdom
16,536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,13/02/2026 8:34,9.95,13047,United Kingdom
17,536367,21754,HOME BUILDING BLOCK WORD,3,13/02/2026 8:34,5.95,13047,United Kingdom
18,536367,21755,LOVE BUILDING BLOCK WORD,3,13/02/2026 8:34,5.95,13047,United Kingdom
19,536367,21777,RECIPE BOX WITH METAL HEART,4,13/02/2026 8:34,7.95,13047,United Kingdom
20,536367,48187,DOORMAT NEW ENGLAND,4,13/02/2026 8:34,7.95,13047,United Kingdom
21,536368,22960,JAM MAKING SET WITH JARS,6,13/02/2026 8:34,4.25,13047,United Kingdom
22,536368,22913,RED COAT RACK PARIS FASHION,3,13/02/2026 8:34,4.95,13047,United Kingdom
23,536368,22912,YELLOW COAT RACK PARIS FASHION,3,13/02/2026 8:34,4.95,13047,United Kingdom
24,536368,22914,BLUE COAT RACK PARIS FASHION,3,13/02/2026 8:34,4.95,13047,United Kingdom
25,536369,21756,BATH BUILDING BLOCK WORD,3,13/02/2026 8:35,5.95,13047,United Kingdom
26,536370,22728,ALARM CLOCK BAKELIKE PINK,24,13/02/2026 8:45,3.75,12583,France
27,536370,22727,ALARM CLOCK BAKELIKE RED ,24,13/02/2026 8:45,3.75,12583,France
28,536370,22726,ALARM CLOCK BAKELIKE GREEN,12,13/02/2026 8:45,3.75,12583,France
29,536370,21724,PANDA AND BUNNIES STICKER SHEET,12,13/02/2026 8:45,0.85,12583,France
30,536370,21883,STARS GIFT TAPE ,24,13/02/2026 8:45,0.65,12583,France
31,536370,10002,INFLATABLE POLITICAL GLOBE ,48,13/02/2026 8:45,0.85,12583,France
32,536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,13/02/2026 8:45,1.25,12583,France
33,536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,13/02/2026 8:45,2.95,12583,France
34,536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,13/02/2026 8:45,2.95,12583,France
35,536370,22629,SPACEBOY LUNCH BOX ,24,13/02/2026 8:45,1.95,12583,France
36,536370,22659,LUNCH BOX I LOVE LONDON,24,13/02/2026 8:45,1.95,12583,France
37,536370,22631,CIRCUS PARADE LUNCH BOX ,24,13/02/2026 8:45,1.95,12583,France
38,536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,13/02/2026 8:45,0.85,12583,France
39,536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,13/02/2026 8:45,1.65,12583,France
40,536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,13/02/2026 8:45,2.95,12583,France
41,536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,13/02/2026 8:45,3.75,12583,France
42,536370,22540,MINI JIGSAW CIRCUS PARADE ,24,13/02/2026 8:45,0.42,12583,France
43,536370,22544,MINI JIGSAW SPACEBOY,24,13/02/2026 8:45,0.42,12583,France
44,536370,22492,MINI PAINT SET VINTAGE ,36,13/02/2026 8:45,0.65,12583,France
45,536370,POST,POSTAGE,3,13/02/2026 8:45,18,12583,France
46,536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,13/02/2026 9:00,2.55,13748,United Kingdom
47,536372,22632,HAND WARMER RED POLKA DOT,6,13/02/2026 9:01,1.85,17850,United Kingdom
48,536372,22633,HAND WARMER UNION JACK,6,13/02/2026 9:01,1.85,17850,United Kingdom
49,536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,13/02/2026 9:02,2.55,17850,United Kingdom
50,536373,71053,WHITE METAL LANTERN,6,13/02/2026 9:02,3.39,17850,United Kingdom
51,536373,84406B,CREAM CUPID HEARTS COAT HANGER,8,13/02/2026 9:02,2.75,17850,United Kingdom
52,536373,20679,EDWARDIAN PARASOL RED,6,13/02/2026 9:02,4.95,17850,United Kingdom
53,536373,37370,RETRO COFFEE MUGS ASSORTED,6,13/02/2026 9:02,1.06,17850,United Kingdom
54,536373,21871,SAVE THE PLANET MUG,6,13/02/2026 9:02,1.06,17850,United Kingdom
55,536373,21071,VINTAGE BILLBOARD DRINK ME MUG,6,13/02/2026 9:02,1.06,17850,United Kingdom
56,536373,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,13/02/2026 9:02,1.06,17850,United Kingdom
57,536373,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,13/02/2026 9:02,4.95,17850,United Kingdom
58,536373,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,13/02/2026 9:02,6.95,17850,United Kingdom
59,536373,82482,WOODEN PICTURE FRAME WHITE FINISH,6,13/02/2026 9:02,2.1,17850,United Kingdom
60,536373,82494L,WOODEN FRAME ANTIQUE WHITE ,6,13/02/2026 9:02,2.55,17850,United Kingdom
61,536373,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,13/02/2026 9:02,3.39,17850,United Kingdom
62,536373,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,13/02/2026 9:02,3.39,17850,United Kingdom
63,536373,22752,SET 7 BABUSHKA NESTING BOXES,2,13/02/2026 9:02,7.65,17850,United Kingdom
64,536373,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,13/02/2026 9:02,4.25,17850,United Kingdom
65,536374,21258,VICTORIAN SEWING BOX LARGE,32,13/02/2026 9:09,10.95,15100,United Kingdom
66,536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,13/02/2026 9:32,2.55,17850,United Kingdom
67,536375,71053,WHITE METAL LANTERN,6,13/02/2026 9:32,3.39,17850,United Kingdom
68,536375,84406B,CREAM CUPID HEARTS COAT HANGER,8,13/02/2026 9:32,2.75,17850,United Kingdom
69,536375,20679,EDWARDIAN PARASOL RED,6,13/02/2026 9:32,4.95,17850,United Kingdom
70,536375,37370,RETRO COFFEE MUGS ASSORTED,6,13/02/2026 9:32,1.06,17850,United Kingdom
71,536375,21871,SAVE THE PLANET MUG,6,13/02/2026 9:32,1.06,17850,United Kingdom
72,536375,21071,VINTAGE BILLBOARD DRINK ME MUG,6,13/02/2026 9:32,1.06,17850,United Kingdom
73,536375,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,13/02/2026 9:32,1.06,17850,United Kingdom
74,536375,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,13/02/2026 9:32,4.95,17850,United Kingdom
75,536375,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,13/02/2026 9:32,6.95,17850,United Kingdom
76,536375,82482,WOODEN PICTURE FRAME WHITE FINISH,6,13/02/2026 9:32,2.1,17850,United Kingdom
77,536375,82494L,WOODEN FRAME ANTIQUE WHITE ,6,13/02/2026 9:32,2.55,17850,United Kingdom
78,536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,13/02/2026 9:32,3.39,17850,United Kingdom
79,536375,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,13/02/2026 9:32,3.39,17850,United Kingdom
80,536375,22752,SET 7 BABUSHKA NESTING BOXES,2,13/02/2026 9:32,7.65,17850,United Kingdom
81,536375,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,13/02/2026 9:32,4.25,17850,United Kingdom
82,536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,13/02/2026 9:32,3.45,15291,United Kingdom
83,536376,21733,RED HANGING HEART T-LIGHT HOLDER,64,13/02/2026 9:32,2.55,15291,United Kingdom
84,536377,22632,HAND WARMER RED POLKA DOT,6,13/02/2026 9:34,1.85,17850,United Kingdom
85,536377,22633,HAND WARMER UNION JACK,6,13/02/2026 9:34,1.85,17850,United Kingdom
86,536378,22386,JUMBO BAG PINK POLKADOT,10,13/02/2026 9:37,1.95,14688,United Kingdom
87,536378,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,13/02/2026 9:37,1.95,14688,United Kingdom
88,536378,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,13/02/2026 9:37,2.95,14688,United Kingdom
89,536378,20723,STRAWBERRY CHARLOTTE BAG,10,13/02/2026 9:37,0.85,14688,United Kingdom
90,536378,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,13/02/2026 9:37,3.75,14688,United Kingdom
91,536378,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,13/02/2026 9:37,3.75,14688,United Kingdom
92,536378,21094,SET/6 RED SPOTTY PAPER PLATES,12,13/02/2026 9:37,0.85,14688,United Kingdom
93,536378,20725,LUNCH BAG RED RETROSPOT,10,13/02/2026 9:37,1.65,14688,United Kingdom
94,536378,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,13/02/2026 9:37,2.55,14688,United Kingdom
95,536378,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,13/02/2026 9:37,2.55,14688,United Kingdom
96,536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,13/02/2026 9:37,0.42,14688,United Kingdom
97,536378,21975,PACK OF 60 DINOSAUR CAKE CASES,24,13/02/2026 9:37,0.55,14688,United Kingdom
98,536378,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,13/02/2026 9:37,0.55,14688,United Kingdom
99,536378,84991,60 TEATIME FAIRY CAKE CASES,24,13/02/2026 9:37,0.55,14688,United Kingdom
100,536378,84519A,TOMATO CHARLIE+LOLA COASTER SET,6,13/02/2026 9:37,2.95,14688,United Kingdom
101,536378,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,48,13/02/2026 9:37,1.25,14688,United Kingdom
102,536378,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,13/02/2026 9:37,0.38,14688,United Kingdom
103,536378,21931,JUMBO STORAGE BAG SUKI,10,13/02/2026 9:37,1.95,14688,United Kingdom
104,536378,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,13/02/2026 9:37,1.95,14688,United Kingdom
105,536380,22961,JAM MAKING SET PRINTED,24,13/02/2026 9:41,1.45,17809,United Kingdom
106,536381,22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,13/02/2026 9:41,4.25,15311,United Kingdom
107,536381,84854,GIRLY PINK TOOL SET,5,13/02/2026 9:41,4.95,15311,United Kingdom
108,536381,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,13/02/2026 9:41,1.95,15311,United Kingdom
109,536381,82567,"AIRLINE LOUNGE,METAL SIGN",2,13/02/2026 9:41,2.1,15311,United Kingdom
110,536381,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,13/02/2026 9:41,1.25,15311,United Kingdom
111,536381,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,24,13/02/2026 9:41,1.25,15311,United Kingdom
112,536381,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,13/02/2026 9:41,1.25,15311,United Kingdom
113,536381,71270,PHOTO CLIP LINE,1,13/02/2026 9:41,1.25,15311,United Kingdom
114,536381,22262,FELT EGG COSY CHICKEN,1,13/02/2026 9:41,0.85,15311,United Kingdom
